term,mean_tfidf
partidos,0.005409861099847465
turno,0.0053856705801372555
varios,0.005385074277778273
capitán guardia,0.005382383621113074
correspondiente,0.005373391761566986
contesta,0.005358559307806516
recibido,0.005348947256599531
sua,0.005336778069122556
hablar,0.005333829709679038
states,0.005326582847809522
united states,0.005326582847809522
united,0.005326582847809522
congreso diputados,0.00531544434939584
decisión,0.005305733603632416
noche,0.0053055968562102694
general división,0.005302224908919933
general presidente,0.005296862538795992
contacto,0.005295706977228332
popular,0.005294205263016588
conoce,0.005288801135339987
firme,0.005279884725366282
honor remitir,0.005276112562246714
ley,0.00527012329204889
grave,0.005269650709933682
luego,0.005266992551765917
ambiente,0.00525644778300091
algún,0.005250574454315309
nuevo,0.005237837021522584
acto,0.005226968155385892
cuanto,0.005222229455203985
testigos,0.0052203785755814604
extrema derecha,0.005219531358561368
campaña,0.005216822326569285
llamado,0.0051880972196676235
propaganda,0.005187558515154503
través,0.005184631282186543
tipo,0.00517362276899684
dispuesto,0.0051718359428264745
plaza,0.005169609225041168
municipal,0.005147481294766457
direccion general,0.005127369754847437
consecuencia,0.00512654863399812
torno,0.005121189111696566
ibañez,0.005115855064986882
ejercito,0.0051082465911623616
navío,0.005106784864579057
secretary,0.005103084132327465
afirma,0.005100585968831273
ajema,0.005095350115349678
fecha ref,0.005091627637310982
carácter,0.00508926286550145
pérez llorca,0.0050885657652452974
parecer,0.005085643678336378
creo,0.005084741204819988
josé pedro,0.00508109576253246
pedro pérez,0.00508109576253246
medio,0.005071023696212921
seguidamente,0.005060182181772865
poner,0.00505586746153693
palacio,0.005050053837932652
designado,0.0050430512522972246
abad,0.005041119106884074
juzgado,0.005039474083545792
conforme,0.0050356992839794895
ambos,0.00502782845105597
debida,0.005020576133526309
región militar,0.005009467456202243
zarzuela,0.005007417175367604
cte pardo,0.004987863200359861
base,0.004987299351454731
institutions,0.004985398223126396
lópez montero,0.004979547798459547
