term,mean_tfidf
madrid abril,0.004445521767745407
calificación,0.00443786171701844
defensa gabinete,0.004424429884097347
capitán navío,0.004418165425059175
haberlo,0.004407523650714694
parlamento,0.004402600236180169
batista,0.004400914807977068
dicha,0.004400778015899634
monarquía,0.004398574398364292
capital,0.004397584575036062
además,0.004396794830867388
segunda,0.004396080674849733
supone,0.004394889697445189
únicamente,0.004388833043378864
artículo código,0.004386622175116912
final,0.004383224873677257
fascista,0.004380611812969969
fué,0.00437741048978588
dirigido,0.004370934663097531
conocer,0.004357680859892574
actividad,0.00435080560855906
secreto,0.004336938714538887
cuartel,0.004324384742617149
actividades,0.004317235296852602
sociedad,0.004317118026133638
cifra,0.004308658740071563
jefe estado,0.004301854894055798
meses,0.00429156787761205
visto,0.004290783877706734
entonces,0.004290202198702843
conducta,0.004287457792008176
cosa,0.004284894071047918
conforme prevenido,0.004280107790592046
haberlo acordado,0.004280107790592046
acordado consejo,0.004280107790592046
eleva consejo,0.004280107790592046
efecto eleva,0.004280107790592046
militar haberlo,0.004280107790592046
supremo consejero,0.004280107790592046
momento efecto,0.004280107790592046
prevenido,0.004280107790592046
consejeros,0.0042702052344069765
serie,0.0042613246376929205
salir,0.004259204567999361
obediencia debida,0.004252397417636626
pueblo español,0.0042385378812287286
civil don,0.004236982497621894
manifestó,0.004235860383042673
jaime,0.004232582388104542
control,0.004229313445343913
mundo,0.0042266224793729695
vehículos,0.0042265350360684165
relatoria,0.004224733854158891
sector,0.004222402483510156
quiere,0.004221894443847233
normal,0.004210268239190898
semana,0.004203350604279373
procedimiento,0.004202435949101029
cid,0.004196195821709857
emilio,0.004192168000810706
próximo,0.004186179102388254
diario,0.0041827720849476795
república,0.0041820052292863424
curso,0.004179408071103123
pretende,0.004176691840632207
palabra,0.004169309779484173
futuro,0.004167303628208236
remitir testimonio,0.0041671441166982745
uso,0.004166029083436445
carrés,0.004165071613753396
igual,0.004164133191576224
considera,0.004156509340970282
tte gral,0.004153327431133386
spanish democracy,0.004151281994492193
entrevista,0.004150277797293472
federal,0.0041445118899684965
pascual,0.004138423585518349
claro,0.0041308054639753525
relatoria ejercito,0.00413048924733472
madrid mayo,0.004126979115756869
instruye,0.004125595278963364
designado real,0.00411790569216631
haga,0.004113268371179675
jose cortina,0.00409781685188358
seno,0.004086139485991673
exterior,0.004080236939384298
urgente,0.0040796190132067235
cierto,0.004074080128539624
octubre,0.004073798852414667
hechos acaecidos,0.004072069816085198
cámara,0.004070994260929258
estima,0.0040701851423494235
oyó,0.004062051512372602
codefensor,0.004059469701561696
estaban,0.0040589004514178925
john,0.004051595291229098
inf,0.004038493912631524
vives,0.004029778523182639
don juan,0.004029280935774979
sabe,0.0040281524460840466
entrar,0.004024797295695671
sargento,0.004023575781792675
última,0.004017343557132158
santamaría,0.0040124020760076585
militar desarrollo,0.004002318792137758
conveniente,0.003996224811413131
presidente sala,0.0039921683937187
assembleia municipal,0.003986550332299704
escuela,0.003985968806915724
especiales,0.003983598398549671
julio,0.003982769173965854
